x,y
2.6655479646202656,2.659010882330137
3.506538101031205,3.5042706734985347
3.0080428215580124,2.9877300787655883
2.722665663579817,3.2594403005574173
2.826145056934984,4.036826171160384
1.8191089291809033,3.9685431261153377
2.8667921439864723,2.795249444246285
1.3346171110060594,3.344493373492594
3.131757235906869,2.464228506195317
3.3569681163151195,1.9486117319566245
6.707543022320266,8.499828266396692
7.111696169736734,8.637786946095742
7.711239443402495,6.9652118763063084
7.022383417471519,6.667276616276649
6.401387534855327,8.065725235347506
6.169555326689091,7.798783065095605
7.97802963207233,5.485491260918101
5.603921078513521,7.971737324414037
6.89700730462478,8.333399429549171
6.649551275886599,7.04182281785271
10.324778648127348,11.022034730136996
10.947915689097288,9.627745397564723
11.58631114577309,12.753120469302894
11.044706748196726,9.751378163024125
11.172761336679239,10.932515549015275
10.285482747930228,12.248044497948525
11.888132492373407,12.111656592778377
9.614582610083493,11.714295967301542
10.14660423022623,11.936532119726738
11.26568152568314,10.74254054312472
