x,y,label
2.6655479646202656,2.659010882330137,0
3.506538101031205,3.5042706734985347,0
3.0080428215580124,2.9877300787655883,0
2.722665663579817,3.2594403005574173,0
2.826145056934984,4.036826171160384,0
1.8191089291809035,3.9685431261153377,0
2.8667921439864723,2.795249444246285,0
1.3346171110060594,3.344493373492594,0
3.131757235906869,2.464228506195317,0
3.3569681163151195,1.9486117319566243,0
6.707543022320266,8.499828266396692,0
7.111696169736734,8.637786946095742,0
7.711239443402495,6.9652118763063084,0
7.022383417471519,6.667276616276649,0
6.401387534855327,8.065725235347506,0
6.169555326689091,7.798783065095605,1
7.97802963207233,5.485491260918101,1
5.603921078513521,7.971737324414037,1
6.89700730462478,8.333399429549171,1
6.649551275886599,7.04182281785271,1
10.324778648127348,11.022034730136996,1
10.947915689097288,9.627745397564723,1
11.58631114577309,12.753120469302894,1
11.044706748196726,9.751378163024125,1
11.17276133667924,10.932515549015276,1
10.285482747930228,12.248044497948523,1
11.888132492373408,12.111656592778376,1
9.614582610083492,11.714295967301542,1
10.14660423022623,11.936532119726738,1
11.26568152568314,10.74254054312472,1
